Allegato,Parte,Punto,Requisito,Metodo per implementarlo,Nello specifico
1,1,2j,"Limitare le superfici di attacco, comprese le interfacce esterne.","- Verificare che siano esposte solamente le interfacce necessarie (ovviamente con le dovute precauzioni)
- Controllare che porte e protocolli non necessari siano disabilitati (principio del privilegio minimo anche qui), cosi come assicurarsi che la configurazione delle API eventualmente utilizzate avvenga in modo sicuro",
1,1,2k,Ridurre l’impatto degli incidenti utilizzando meccanismi di attenuazione dello sfruttamento.,"- Verificare la presenza di protezioni come ASLR, DEP, stack canaries (non conosco queste tecnologie, mi sono informato da internet)
- Controllare che ci siano meccanismi di sandboxing e rate limiting, così come controllare che gli errori vengano gestiti in modo corretto",
1,1,2l,"Fornire informazioni sulla sicurezza registrando/monitorando le attività effettuate, con possibilità di disattivazione da parte dell’utente","- Verificare se è presente un sistema di log delle operazioni sensibili (o delle operazioni in generale) e che questo sistema sia sicuro (dal punto di vista crittografico)
- Controllare che l’utente possa attivare/disattivare il sistema di log descritto sopra",
1,1,2m,Offrire possibilità all'utente di rimuovere permanentemente dati e impostazioni in modo sicuro e che possa trasferirli in modo sicuro,"- Verificare se sono implementate funzioni di wipe sicuro dei dati e se l'utente può usufruirne
- Controllare se esiste una funzione di esportazione sicura dei dati (in che modo li esporta, verso dove, …)
- Controllare che i dati cancellati non siano recuperabili facilmente ",
1,2,1,"I fabbricanti identificano e documentano vulnerabilità e componenti, riassumendole in una distinta base software. Questa deve includere le dipendenze di primo livello del prodotto","- Verificare la presenza di una Software Bill of Materials (SBOM) aggiornata, il cui formato deve essere leggibile da dispositivi automatici
- Controllare se esiste un sistema per tracciare le vulnerabilità interne descritte nella SBOM ","1. Interrogare l'API/endpoint dedicato per scaricare la SBOM in formato leggibile da dispositivi automatici (ad es. XML/JSON, ...): la SBOM deve essere conforme agli standard, disponendo dei campi obbligatori e dello schema JSON/XML (cosa da controllare).
2. Estrarre dalla SBOM la lista dei componenti e delle dipendenze (quantomeno di primo livello), controllando che ogni voce includa nome, versione e identificatori univoci.
3. Interrogare le API del sistema di gestione vulnerabilità (se presenti) per ciascun componente elencato nella SBOM, raccogliendo elenco di CVE e relativi punteggi."
1,2,2,I fabbricanti correggono tempestivamente le vulnerabilità e rilasciano aggiornamenti di sicurezza separati dalla funzionalità.,"- Verificare la politica di gestione degli aggiornamenti di sicurezza, controllando anche la frequenza di rilascio delle patch: per quanto tempo, ogni quanto tempo, ...
- Controllare che gli aggiornamenti di sicurezza sono separati dagli aggiornamenti funzionali
","1. Interrogare l’API o consultare la documentazione ufficiale per recuperare la policy di gestione degli aggiornamenti, individuando il periodo di supporto e la frequenza delle patch.
2. Estrarre dalla policy i valori specifici di inizio supporto, fine supporto, intervallo massimo tra release di sicurezza e tempo obiettivo per il rilascio di patch critiche, confrontandoli con i requisiti normativi (per esempio, entro 30 giorni dalla scoperta della vulnerabilità).
3. Interrogare l’API dei rilasci o sfogliare il changelog ufficiale per ottenere la lista cronologica di tutte le release. Parsare per ciascuna release i metadati di rilascio, tipo e identificativo univoco. Verificare se è specificato il tipo di update (ad esempio feature o security).
4. Effettuare una richiesta di download di un security update o scaricare il pacchetto dalla documentazione, quindi ispezionare il manifest interno / note di rilascio per accertare che il changelog contenga solo correzioni di sicurezza e non nuove funzionalità. "
1,2,3,Vengono effettuate prove e riesami efficaci e periodici della sicurezza del prodotto,"- Verificare se sono descritte le tipologie di test effettuati e la loro frequenza
- Controllare report con risultati dei test
- Accertarsi che esista un calendario ufficiale di riesami",
1,2,4,Pubblicare e divulgare pubblicamente le informazioni sulle vulnerabilità risolte,"- Esaminare le Release Notes pubblicate sul sito del produttore: devono contenere descrizione vulnerabilità, prodotti interessati, gravità e istruzioni di mitigazione
- Controllare date di pubblicazione in relazione alla disponibilità della patch",
1,2,5,Divulgazione in modo coordinato le vulnerabilità,"- Verificare che sia descritto il modo in cui si intende gestire la divulgazione coordinata delle vulnerabilità (ad esempio tramite database delle vulnerabilità, sito/forum ufficiale, apposita pagina, ...)",
1,2,6,Devono esserci misure prese per facilitare la segnalazione di vulnerabilità e contatto dedicato,"- Cercare nel manuale o sul sito l’indirizzo e-mail o link dedicato per segnalazioni
- Verificare la presenza di istruzioni chiare e tempi di risposta stimati",
1,2,7,Meccanismi per distribuire in modo sicuro gli aggiornamenti (inclusi automatici),"- Controllare la documentazione in merito alla sicurezza nella distribuzione degli aggiornamenti e modalità di fallback
- Verificare che siano descritti i criteri di roll-out e i requisiti di autenticazione per ottenere l’aggiornamento
- Accertarsi della presenza di istruzioni per l’attivazione/disattivazione del meccanismo automatico",
1,2,8,Garanzia di disponibilità tempestiva e gratuita degli aggiornamenti di sicurezza (con messaggi di avviso agli utilizzatori),"- Controllare i “Security Bulletins” per i tempi di rilascio (ad es. entro X giorni dalla scoperta)
- Verificare esempi di comunicazioni (e-mail, notifiche) in merito alla distribuzione degli update",
7,/,1a,Descrizione generale del prodotto con elementi digitali: finalità prevista,- Controllare la descrizione delle finalità previste per il prodotto,
7,/,1b,Descrizione delle versioni software rilevanti per la conformità ai requisiti essenziali di cibersicurezza,"- Assicurarsi che sia mantenuta una SBOM aggiornata con tutte le librerie (e relative versioni)
- Controllare la presenza di un registro delle release con indicazione delle patch di sicurezza che ogni release include/prevede",
7,/,1c,"Documentazione hardware: fotografie, illustrazioni e schemi delle caratteristiche esterne e interne del prodotto","- Controllare se sono presenti foto/illustrazioni/schemi delle viste esterne e interne
- Prestare particolare attenzione a porte, antenne e numero seriale",
7,/,1d,"Informazioni e istruzioni dettagliate per l’utilizzatore, inclusi installazione, configurazione e aggiornamenti (basandosi su allegato II)","Controllare la presenza di:
- Dati fabbricante (nome/marchio, contatti, sito)
- Punto unico segnalazioni e modo in cui il fabbricante divulga in modo coordinato le vulnerabilità
- Identificativo univoco (modello e numero seriale)
- Finalità, funzionalità chiave e rischi d’uso
- Tipo di supporto sicurezza + data fine assistenza
- Istruzioni per: avvio sicuro, installazione aggiornamenti, smantellamento sicuro (eliminazione sicura dei dati degli utilizzatori), disattivazione degli aggiornamenti automatici e integrazione con altri sistemi",
7,/,2a,"Documentazione di progettazione, sviluppo e architettura del sistema: componenti, flussi dati e dipendenze software","- Controllare se l’architettura viene descritta mediante diagrammi di componenti (component diagram) e sequence (flussi dei dati, diagrammi BPMN?, API utilizzate e routes/endpoint esposti, dipendenze sotfware)
- Assicurarsi che punti di integrazione (protocolli usati per la comunicazione, interfacce, formati dei dati, meccanismi di autenticazione) e librerie di terze parti utilizzate siano elencati e descritti",
7,/,2b,"Gestione delle vulnerabilità: SBOM, policy di disclosure e canale dedicato per la segnalazione e aggiornamenti","Assicurarsi che sia:
- Descritta la SBOM nella documentazione
- Definito il processo di rilascio degli aggiornamenti (ad esempio OTA firmati e distribuiti via HTTPS, ...)
- Presente un link/contatto per la segnalazione di vulnerabilità
- Descritto il modo in cui si intende gestire la divulgazione coordinata delle vulnerabilità (ad esempio tramite database delle vulnerabilità, sito/forum ufficiale, apposita pagina, ...)",
7,/,2c,"Processi di produzione, monitoraggio e convalida dei controlli qualità","Verificare che siano presenti:
- Sezioni che elencano le fasi di assemblaggio e collaudo (dall'inizio alla fine)
- Elenco degli strumenti/metodologie impiegate 
- Descrizione delle procedure di gestione dei log
- Date e versioni del software/hardware testato",
7,/,3,Valutazione completa dei rischi di cibersicurezza e definizione di un piano di mitigazione,"- Verificare che sia stato effettuato un Risk Assessment con matrice impatto x probabilità
- Controllare che siano stati allineati i controlli richiesti dall'Allegato I parte I ai rischi identificati
- Controllare che sia stato redatto un piano di mitigazione",
